FechaExtraccion,CuentaContrato,Categoria
2023-03-17T12:36:57.182Z,001103112740,1
2023-03-17T12:36:57.182Z,001102461522,1
2023-03-17T12:36:57.182Z,001102267131,1
2023-03-17T12:36:57.182Z,001103102877,1
2023-03-17T12:36:57.182Z,001101701461,1
2023-03-17T12:36:57.182Z,001100267432,1
2023-03-17T12:36:57.182Z,001101038533,1
2023-03-17T12:36:57.182Z,001101855040,1
2023-03-17T12:36:57.182Z,001100267935,1
2023-03-17T12:36:57.182Z,001101801814,1
2023-03-17T12:36:57.182Z,001100677378,1
2023-03-17T12:36:57.182Z,001100492309,1
2023-03-17T12:36:57.182Z,001102897777,1
2023-03-17T12:36:57.182Z,001101146866,1
2023-03-17T12:36:57.182Z,001100775086,1
2023-03-17T12:36:57.182Z,001100644785,1
2023-03-17T12:36:57.182Z,001100281260,2
2023-03-17T12:36:57.182Z,001100879897,1
2023-03-17T12:36:57.182Z,001102265527,1
2023-03-17T12:36:57.182Z,001100434457,1
2023-03-17T12:36:57.182Z,001100152171,1
2023-03-17T12:36:57.182Z,001100138440,2
2023-03-17T12:36:57.182Z,001102152879,1
2023-03-17T12:36:57.182Z,001000166969,1
2023-03-17T12:36:57.182Z,001102652050,1
2023-03-17T12:36:57.182Z,001103134317,1
2023-03-17T12:36:57.182Z,001102035224,1
2023-03-17T12:36:57.182Z,001100182270,1
2023-03-17T12:36:57.182Z,001103023216,1
2023-03-17T12:36:57.182Z,991100024990,1
2023-03-17T12:36:57.182Z,001101309030,2
2023-03-17T12:36:57.182Z,001102056872,1
2023-03-17T12:36:57.182Z,001101565306,1
2023-03-17T12:36:57.182Z,001102036841,1
2023-03-17T12:36:57.182Z,001100060841,1
2023-03-17T12:36:57.182Z,001101316560,1
2023-03-17T12:36:57.182Z,001100056543,1
2023-03-17T12:36:57.182Z,001102682157,1
2023-03-17T12:36:57.182Z,001103007283,1
2023-03-17T12:36:57.182Z,001102800206,1
2023-03-17T12:36:57.182Z,001100652557,1
2023-03-17T12:36:57.182Z,001101421949,1
2023-03-17T12:36:57.182Z,001101790711,1
2023-03-17T12:36:57.182Z,001100188043,1
2023-03-17T12:36:57.182Z,001100800306,1
2023-03-17T12:36:57.182Z,001100803561,1
2023-03-17T12:36:57.182Z,001000174813,1
2023-03-17T12:36:57.182Z,001100891015,1
2023-03-17T12:36:57.182Z,001100047839,1
2023-03-17T12:36:57.182Z,001000249280,1
2023-03-17T12:36:57.182Z,001100327218,1
2023-03-17T12:36:57.182Z,001100917432,1
2023-03-17T12:36:57.182Z,001103330613,1
2023-03-17T12:36:57.182Z,001100205031,1
2023-03-17T12:36:57.182Z,001103152557,1
2023-03-17T12:36:57.182Z,001101645947,1
2023-03-17T12:36:57.182Z,991100023531,1
2023-03-17T12:36:57.182Z,001103098114,1
2023-03-17T12:36:57.182Z,001103208752,1
2023-03-17T12:36:57.182Z,001102327911,1
2023-03-17T12:36:57.182Z,001100451153,1
2023-03-17T12:36:57.182Z,001102378630,1
2023-03-17T12:36:57.182Z,001000103082,1
2023-03-17T12:36:57.182Z,001102431654,1
2023-03-17T12:36:57.182Z,001000039405,1
2023-03-17T12:36:57.182Z,001102967931,1
2023-03-17T12:36:57.182Z,001101805259,1
2023-03-17T12:36:57.182Z,001101398542,1
2023-03-17T12:36:57.182Z,001102054953,1
2023-03-17T12:36:57.182Z,001100667067,1
2023-03-17T12:36:57.182Z,001100534605,1
2023-03-17T12:36:57.182Z,001100840934,1
2023-03-17T12:36:57.182Z,001101162549,1
2023-03-17T12:36:57.182Z,001101112249,1
2023-03-17T12:36:57.182Z,001102955522,1
2023-03-17T12:36:57.182Z,001101248440,1
2023-03-17T12:36:57.182Z,001101248943,1
2023-03-17T12:36:57.182Z,001102816522,1
2023-03-17T12:36:57.182Z,001102205901,1
2023-03-17T12:36:57.182Z,001000234382,1
2023-03-17T12:36:57.182Z,001101862600,1
2023-03-17T12:36:57.182Z,001102521774,1
2023-03-17T12:36:57.182Z,001101876405,1
2023-03-17T12:36:57.182Z,001102778852,1
2023-03-17T12:36:57.182Z,001100784835,1
2023-03-17T12:36:57.182Z,001101215019,1
2023-03-17T12:36:57.182Z,001101438247,1
2023-03-17T12:36:57.182Z,001102424671,1
2023-03-17T12:36:57.182Z,001101717360,1
2023-03-17T12:36:57.182Z,001101774676,1
2023-03-17T12:36:57.182Z,001102467032,1
2023-03-17T12:36:57.182Z,001102955826,1
2023-03-17T12:36:57.182Z,001103095661,1
2023-03-17T12:36:57.182Z,001100617763,1
2023-03-17T12:36:57.182Z,001101294036,1
2023-03-17T12:36:57.182Z,001102695763,1
2023-03-17T12:36:57.182Z,001101783812,1
2023-03-17T12:36:57.182Z,001101809424,1
2023-03-17T12:36:57.182Z,001102404170,1
2023-03-17T12:36:57.182Z,001102862085,1
2023-03-17T12:36:57.182Z,001101564698,1
2023-03-17T12:36:57.182Z,001101733010,1
2023-03-17T12:36:57.182Z,001102267202,1
2023-03-17T12:36:57.182Z,001102734432,1
2023-03-17T12:36:57.182Z,001100409695,1
2023-03-17T12:36:57.182Z,001101914041,1
2023-03-17T12:36:57.182Z,001101964541,1
2023-03-17T12:36:57.182Z,001000003271,1
2023-03-17T12:36:57.182Z,001101818690,1
2023-03-17T12:36:57.182Z,001100309115,1
2023-03-17T12:36:57.182Z,001102361859,1
2023-03-17T12:36:57.182Z,001101074464,1
2023-03-17T12:36:57.182Z,001101557820,1
2023-03-17T12:36:57.182Z,001101830822,1
2023-03-17T12:36:57.182Z,001102180833,0
2023-03-17T12:36:57.182Z,001101787402,1
2023-03-17T12:36:57.182Z,001101938687,1
2023-03-17T12:36:57.182Z,001102464967,1
2023-03-17T12:36:57.182Z,001102180537,1
2023-03-17T12:36:57.182Z,001101942818,1
2023-03-17T12:36:57.182Z,001102414667,1
2023-03-17T12:36:57.182Z,001101064346,1
2023-03-17T12:36:57.182Z,001101986771,1
2023-03-17T12:36:57.182Z,001100972202,1
2023-03-17T12:36:57.182Z,001102309510,1
2023-03-17T12:36:57.182Z,001101643435,1
2023-03-17T12:36:57.182Z,001100300888,1
2023-03-17T12:36:57.182Z,001101384244,1
2023-03-17T12:36:57.182Z,001100361650,2
2023-03-17T12:36:57.182Z,001103225703,1
2023-03-17T12:36:57.182Z,001101166138,1
2023-03-17T12:36:57.182Z,001100421399,1
2023-03-17T12:36:57.182Z,001100865881,1
2023-03-17T12:36:57.182Z,001101942642,1
2023-03-17T12:36:57.182Z,001100852201,3
2023-03-17T12:36:57.182Z,001000117885,1
2023-03-17T12:36:57.182Z,001100174081,1
2023-03-17T12:36:57.182Z,001100674760,1
2023-03-17T12:36:57.182Z,001102882501,1
2023-03-17T12:36:57.182Z,001103231343,1
2023-03-17T12:36:57.182Z,001101235500,1
2023-03-17T12:36:57.182Z,001101613908,2
2023-03-17T12:36:57.182Z,001102173031,1
2023-03-17T12:36:57.182Z,001102531684,1
2023-03-17T12:36:57.182Z,001101970469,1
2023-03-17T12:36:57.182Z,001100194985,1
2023-03-17T12:36:57.182Z,001100551183,1
2023-03-17T12:36:57.182Z,001000117587,1
2023-03-17T12:36:57.182Z,001101521495,1
2023-03-17T12:36:57.182Z,001101801186,1
2023-03-17T12:36:57.182Z,001102144581,1
2023-03-17T12:36:57.182Z,001000004827,1
2023-03-17T12:36:57.182Z,001100531983,1
2023-03-17T12:36:57.182Z,001103173253,1
2023-03-17T12:36:57.182Z,001102581483,1
2023-03-17T12:36:57.182Z,001100082535,1
2023-03-17T12:36:57.182Z,001100832809,1
2023-03-17T12:36:57.182Z,001100223899,1
2023-03-17T12:36:57.182Z,001101695988,1
2023-03-17T12:36:57.182Z,001000120613,1
2023-03-17T12:36:57.182Z,001102223090,1
2023-03-17T12:36:57.182Z,001102852701,1
2023-03-17T12:36:57.182Z,001102419446,1
2023-03-17T12:36:57.182Z,001100836476,1
2023-03-17T12:36:57.182Z,001100435936,1
2023-03-17T12:36:57.182Z,001100476862,1
2023-03-17T12:36:57.182Z,001000143352,1
2023-03-17T12:36:57.182Z,001100391793,1
2023-03-17T12:36:57.182Z,001101024027,1
2023-03-17T12:36:57.182Z,001102336207,1
2023-03-17T12:36:57.182Z,001102013741,1
2023-03-17T12:36:57.182Z,001102117841,1
2023-03-17T12:36:57.182Z,001100496269,1
2023-03-17T12:36:57.182Z,001102875537,1
2023-03-17T12:36:57.182Z,001100757848,1
2023-03-17T12:36:57.182Z,001100014160,1
2023-03-17T12:36:57.182Z,001101678636,1
2023-03-17T12:36:57.182Z,001102725467,1
2023-03-17T12:36:57.182Z,001102255369,1
2023-03-17T12:36:57.182Z,001102224951,1
2023-03-17T12:36:57.182Z,001102804028,1
2023-03-17T12:36:57.182Z,001101972904,1
2023-03-17T12:36:57.182Z,001000353725,1
2023-03-17T12:36:57.182Z,001103179869,1
2023-03-17T12:36:57.182Z,001102386305,1
2023-03-17T12:36:57.182Z,001100063844,1
2023-03-17T12:36:57.182Z,001101640750,1
2023-03-17T12:36:57.182Z,001101575493,1
2023-03-17T12:36:57.182Z,001100373493,1
2023-03-17T12:36:57.182Z,001102774622,1
2023-03-17T12:36:57.182Z,001100203228,1
2023-03-17T12:36:57.182Z,001101558012,1
2023-03-17T12:36:57.182Z,001102353615,1
2023-03-17T12:36:57.182Z,001102105677,1
2023-03-17T12:36:57.182Z,001100963541,1
2023-03-17T12:36:57.182Z,001100759891,1
2023-03-17T12:36:57.182Z,001100739197,1
2023-03-17T12:36:57.182Z,001100370330,1
2023-03-17T12:36:57.182Z,001101458922,1
2023-03-17T12:36:57.182Z,001103265462,1
2023-03-17T12:36:57.182Z,001103287026,1
2023-03-17T12:36:57.182Z,001102593202,1
2023-03-17T12:36:57.182Z,001100352470,1
2023-03-17T12:36:57.182Z,001102401188,1
2023-03-17T12:36:57.182Z,001102350619,1
2023-03-17T12:36:57.182Z,001102871383,1
2023-03-17T12:36:57.182Z,001102550952,1
2023-03-17T12:36:57.182Z,001102671845,1
2023-03-17T12:36:57.182Z,001101717077,1
2023-03-17T12:36:57.182Z,001102352177,1
2023-03-17T12:36:57.182Z,001101203777,1
2023-03-17T12:36:57.182Z,001100913249,1
2023-03-17T12:36:57.182Z,001102350567,1
2023-03-17T12:36:57.182Z,001101261070,1
2023-03-17T12:36:57.182Z,001102380967,1
2023-03-17T12:36:57.182Z,001101223975,1
2023-03-17T12:36:57.182Z,001000071200,1
2023-03-17T12:36:57.182Z,001100691840,1
2023-03-17T12:36:57.182Z,001102104523,1
2023-03-17T12:36:57.182Z,001102543904,1
2023-03-17T12:36:57.182Z,001101767577,1
2023-03-17T12:36:57.182Z,001101090462,1
2023-03-17T12:36:57.182Z,001102236558,1
2023-03-17T12:36:57.182Z,001100534659,1
2023-03-17T12:36:57.182Z,001102449881,1
2023-03-17T12:36:57.182Z,001101040665,1
2023-03-17T12:36:57.182Z,001102295171,1
2023-03-17T12:36:57.182Z,001102075270,1
2023-03-17T12:36:57.182Z,001000135540,1
2023-03-17T12:36:57.182Z,991100040230,1
2023-03-17T12:36:57.182Z,001102245874,1
2023-03-17T12:36:57.182Z,001102258543,1
2023-03-17T12:36:57.182Z,001000060807,1
2023-03-17T12:36:57.182Z,001102534852,1
2023-03-17T12:36:57.182Z,001100808102,1
2023-03-17T12:36:57.182Z,001101253803,1
2023-03-17T12:36:57.182Z,001100262001,1
2023-03-17T12:36:57.182Z,001102350904,1
2023-03-17T12:36:57.182Z,001100685032,1
2023-03-17T12:36:57.182Z,001102808808,1
2023-03-17T12:36:57.182Z,001102761027,1
2023-03-17T12:36:57.182Z,001102837316,1
2023-03-17T12:36:57.182Z,001102534556,1
2023-03-17T12:36:57.182Z,001101779524,1
2023-03-17T12:36:57.182Z,001102286150,1
2023-03-17T12:36:57.182Z,001102288943,1
2023-03-17T12:36:57.182Z,001103237130,1
2023-03-17T12:36:57.182Z,001101694832,1
2023-03-17T12:36:57.182Z,001101005102,1
2023-03-17T12:36:57.182Z,001103184668,1
2023-03-17T12:36:57.182Z,001100626072,1
2023-03-17T12:36:57.182Z,001100361445,1
2023-03-17T12:36:57.182Z,001103303104,1
2023-03-17T12:36:57.182Z,001103134767,1
2023-03-17T12:36:57.182Z,001101133590,1
2023-03-17T12:36:57.182Z,001101387041,1
2023-03-17T12:36:57.182Z,001101297839,1
2023-03-17T12:36:57.182Z,001101319677,1
2023-03-17T12:36:57.182Z,001103082683,1
2023-03-17T12:36:57.182Z,001000109903,1
2023-03-17T12:36:57.182Z,001103032789,1
2023-03-17T12:36:57.182Z,001100606279,1
2023-03-17T12:36:57.182Z,001101643842,1
2023-03-17T12:36:57.182Z,001101461620,1
2023-03-17T12:36:57.182Z,001101493147,1
2023-03-17T12:36:57.182Z,001101746518,1
2023-03-17T12:36:57.182Z,001102638810,1
2023-03-17T12:36:57.182Z,001100492691,1
2023-03-17T12:36:57.182Z,001103336712,1
2023-03-17T12:36:57.182Z,001101253694,1
2023-03-17T12:36:57.182Z,001100078994,1
2023-03-17T12:36:57.182Z,991100013418,1
2023-03-17T12:36:57.182Z,001100588898,1
2023-03-17T12:36:57.182Z,001102914652,1
2023-03-17T12:36:57.182Z,001102033835,1
2023-03-17T12:36:57.182Z,001101283090,1
2023-03-17T12:36:57.182Z,001101986949,1
2023-03-17T12:36:57.182Z,001101986746,1
2023-03-17T12:36:57.182Z,001000140063,1
2023-03-17T12:36:57.182Z,001100515017,1
2023-03-17T12:36:57.182Z,001100091397,1
2023-03-17T12:36:57.182Z,001100472790,1
2023-03-17T12:36:57.182Z,001100558495,1
2023-03-17T12:36:57.182Z,001000174969,1
2023-03-17T12:36:57.182Z,001102283311,1
2023-03-17T12:36:57.182Z,001103020719,1
2023-03-17T12:36:57.182Z,001102098892,1
2023-03-17T12:36:57.182Z,001100323128,1
2023-03-17T12:36:57.182Z,001101425685,1
2023-03-17T12:36:57.182Z,001101085687,1
2023-03-17T12:36:57.182Z,001100968654,1
2023-03-17T12:36:57.182Z,001103019310,1
2023-03-17T12:36:57.182Z,001100914954,1
2023-03-17T12:36:57.182Z,001101071031,1
2023-03-17T12:36:57.182Z,001101036880,1
2023-03-17T12:36:57.182Z,001103024370,1
2023-03-17T12:36:57.182Z,001100244195,1
2023-03-17T12:36:57.182Z,001103352646,1
2023-03-17T12:36:57.182Z,001101069817,1
2023-03-17T12:36:57.182Z,001100757390,1
2023-03-17T12:36:57.182Z,001103378414,1
2023-03-17T12:36:57.182Z,001100610209,1
2023-03-17T12:36:57.182Z,001102294695,0
2023-03-17T12:36:57.182Z,001103192021,1
2023-03-17T12:36:57.182Z,001102911486,1
2023-03-17T12:36:57.182Z,001102309771,1
2023-03-17T12:36:57.182Z,001102712187,1
2023-03-17T12:36:57.182Z,001102636132,0
2023-03-17T12:36:57.182Z,001102477199,1
2023-03-17T12:36:57.182Z,001101735515,1
2023-03-17T12:36:57.182Z,001103348318,1
2023-03-17T12:36:57.182Z,001101377317,1
2023-03-17T12:36:57.182Z,001101484534,1
2023-03-17T12:36:57.182Z,001100306444,1
2023-03-17T12:36:57.182Z,001100326711,1
2023-03-17T12:36:57.182Z,001100762280,1
2023-03-17T12:36:57.182Z,001101739884,1
2023-03-17T12:36:57.182Z,001100497196,1
2023-03-17T12:36:57.182Z,001100420523,1
2023-03-17T12:36:57.182Z,001103300102,1
2023-03-17T12:36:57.182Z,001102728485,1
2023-03-17T12:36:57.182Z,001000106532,1
2023-03-17T12:36:57.182Z,001101369525,1
2023-03-17T12:36:57.182Z,001102593621,1
2023-03-17T12:36:57.182Z,001102573926,1
2023-03-17T12:36:57.182Z,001103020902,1
2023-03-17T12:36:57.182Z,001101990916,1
2023-03-17T12:36:57.182Z,001100377689,1
2023-03-17T12:36:57.182Z,001100453263,1
2023-03-17T12:36:57.182Z,001103358593,1
2023-03-17T12:36:57.182Z,001103160567,1
2023-03-17T12:36:57.182Z,001100543121,1
2023-03-17T12:36:57.182Z,001102903931,1
2023-03-17T12:36:57.182Z,001101109305,1
2023-03-17T12:36:57.182Z,001102417164,1
2023-03-17T12:36:57.182Z,001102611596,1
2023-03-17T12:36:57.182Z,001101556611,1
2023-03-17T12:36:57.182Z,001102453763,1
2023-03-17T12:36:57.182Z,001102548414,1
2023-03-17T12:36:57.182Z,001101649739,1
2023-03-17T12:36:57.182Z,001101194523,1
2023-03-17T12:36:57.182Z,001101401264,1
2023-03-17T12:36:57.182Z,001102291181,1
2023-03-17T12:36:57.182Z,001102822018,1
2023-03-17T12:36:57.182Z,001100663553,1
2023-03-17T12:36:57.182Z,001100707095,1
2023-03-17T12:36:57.182Z,001102379418,2
2023-03-17T12:36:57.182Z,001101401069,1
2023-03-17T12:36:57.182Z,001100399410,1
2023-03-17T12:36:57.182Z,001102709836,1
2023-03-17T12:36:57.182Z,001100191118,2
2023-03-17T12:36:57.182Z,001102298090,1
2023-03-17T12:36:57.182Z,001100748740,1
2023-03-17T12:36:57.182Z,001102876900,1
2023-03-17T12:36:57.182Z,001000189481,1
2023-03-17T12:36:57.182Z,001101831381,1
2023-03-17T12:36:57.182Z,001100298595,1
2023-03-17T12:36:57.182Z,001102465729,1
2023-03-17T12:36:57.182Z,001103283952,2
2023-03-17T12:36:57.182Z,001103226500,1
2023-03-17T12:36:57.182Z,001101814743,2
2023-03-17T12:36:57.182Z,001101271516,1
2023-03-17T12:36:57.182Z,001101271810,1
2023-03-17T12:36:57.182Z,001100550798,1
2023-03-17T12:36:57.182Z,001103370570,1
2023-03-17T12:36:57.182Z,001101310417,1
2023-03-17T12:36:57.182Z,001100040212,1
2023-03-17T12:36:57.182Z,001000051842,1
2023-03-17T12:36:57.182Z,001103226305,1
2023-03-17T12:36:57.182Z,001101959829,1
2023-03-17T12:36:57.182Z,001101291017,1
2023-03-17T12:36:57.182Z,001103385487,1
2023-03-17T12:36:57.182Z,001103059895,1
2023-03-17T12:36:57.182Z,001101184231,1
2023-03-17T12:36:57.182Z,001101300330,1
2023-03-17T12:36:57.182Z,001102940951,1
2023-03-17T12:36:57.182Z,001103220093,1
2023-03-17T12:36:57.182Z,001102940459,1
2023-03-17T12:36:57.182Z,001100517462,1
2023-03-17T12:36:57.182Z,001100816477,1
2023-03-17T12:36:57.182Z,001102335589,1
2023-03-17T12:36:57.182Z,001102805934,1
2023-03-17T12:36:57.182Z,001102964043,1
2023-03-17T12:36:57.182Z,001101962007,1
2023-03-17T12:36:57.182Z,001100538588,1
2023-03-17T12:36:57.182Z,001100024619,1
2023-03-17T12:36:57.182Z,001103292085,1
2023-03-17T12:36:57.182Z,001102964248,1
2023-03-17T12:36:57.182Z,001101866855,1
2023-03-17T12:36:57.182Z,001103330615,1
2023-03-17T12:36:57.182Z,001101299540,1
2023-03-17T12:36:57.182Z,001102940031,1
2023-03-17T12:36:57.182Z,001102775763,1
2023-03-17T12:36:57.182Z,991100001938,1
2023-03-17T12:36:57.182Z,001102558480,1
2023-03-17T12:36:57.182Z,001101860484,1
2023-03-17T12:36:57.182Z,001102764720,1
2023-03-17T12:36:57.182Z,001101197097,1
2023-03-17T12:36:57.182Z,001100805030,1
2023-03-17T12:36:57.182Z,001100745166,1
2023-03-17T12:36:57.182Z,001100128764,1
2023-03-17T12:36:57.182Z,001100320417,1
2023-03-17T12:36:57.182Z,001101206298,1
2023-03-17T12:36:57.182Z,001100267549,1
2023-03-17T12:36:57.182Z,001100234985,1
2023-03-17T12:36:57.182Z,001000086791,1
2023-03-17T12:36:57.182Z,001103125021,1
2023-03-17T12:36:57.182Z,001100019358,1
2023-03-17T12:36:57.182Z,001102431588,1
2023-03-17T12:36:57.182Z,001103224708,1
2023-03-17T12:36:57.182Z,001100389563,1
2023-03-17T12:36:57.182Z,001102431884,1
2023-03-17T12:36:57.182Z,001102501948,1
2023-03-17T12:36:57.182Z,001103176915,1
2023-03-17T12:36:57.182Z,001103411268,1
2023-03-17T12:36:57.182Z,001102217742,1
2023-03-17T12:36:57.182Z,001103375361,1
2023-03-17T12:36:57.182Z,001100498615,1
2023-03-17T12:36:57.182Z,001102796978,1
2023-03-17T12:36:57.182Z,001000130458,1
2023-03-17T12:36:57.182Z,001101205896,1
2023-03-17T12:36:57.182Z,001101626654,1
2023-03-17T12:36:57.182Z,001102178394,1
2023-03-17T12:36:57.182Z,001101409191,1
2023-03-17T12:36:57.182Z,001000078228,1
2023-03-17T12:36:57.182Z,001103418696,1
2023-03-17T12:36:57.182Z,001100054547,1
2023-03-17T12:36:57.182Z,001100855560,1
2023-03-17T12:36:57.182Z,001101871841,1
2023-03-17T12:36:57.182Z,001102423527,1
2023-03-17T12:36:57.182Z,991100040350,1
2023-03-17T12:36:57.182Z,001101222072,1
2023-03-17T12:36:57.182Z,001101841440,1
2023-03-17T12:36:57.182Z,001102878242,1
2023-03-17T12:36:57.182Z,001100929450,1
2023-03-17T12:36:57.182Z,001102245838,1
2023-03-17T12:36:57.182Z,001103413546,1
2023-03-17T12:36:57.182Z,001000256091,1
2023-03-17T12:36:57.182Z,001100701031,1
2023-03-17T12:36:57.182Z,001100540049,1
2023-03-17T12:36:57.182Z,001102570349,0
2023-03-17T12:36:57.182Z,001100773042,1
2023-03-17T12:36:57.182Z,001102891376,1
2023-03-17T12:36:57.182Z,001000141074,1
2023-03-17T12:36:57.182Z,001101288465,1
2023-03-17T12:36:57.182Z,001101370866,1
2023-03-17T12:36:57.182Z,001100581254,1
2023-03-17T12:36:57.182Z,001101760698,1
2023-03-17T12:36:57.182Z,001000161511,1
2023-03-17T12:36:57.182Z,001100347869,1
2023-03-17T12:36:57.182Z,001101963927,1
2023-03-17T12:36:57.182Z,001103002016,1
2023-03-17T12:36:57.182Z,001103098442,1
2023-03-17T12:36:57.182Z,001102774256,1
2023-03-17T12:36:57.182Z,001102706387,1
2023-03-17T12:36:57.182Z,001100911152,1
2023-03-17T12:36:57.182Z,001103030156,1
2023-03-17T12:36:57.182Z,001101307941,1
2023-03-17T12:36:57.182Z,001101085778,1
2023-03-17T12:36:57.182Z,001102717122,1
2023-03-17T12:36:57.182Z,001102297712,1
2023-03-17T12:36:57.182Z,001102060468,1
2023-03-17T12:36:57.182Z,001000171672,1
2023-03-17T12:36:57.182Z,001000111611,1
2023-03-17T12:36:57.182Z,001101700622,1
2023-03-17T12:36:57.182Z,001103186241,1
2023-03-17T12:36:57.182Z,001100107411,1
2023-03-17T12:36:57.182Z,001100688580,1
2023-03-17T12:36:57.182Z,001101906747,1
2023-03-17T12:36:57.182Z,001103357322,1
2023-03-17T12:36:57.182Z,001000174152,1
2023-03-17T12:36:57.182Z,001102973172,1
2023-03-17T12:36:57.182Z,001101147944,1
2023-03-17T12:36:57.182Z,001102393907,1
2023-03-17T12:36:57.182Z,001100402390,1
2023-03-17T12:36:57.182Z,001103097108,1
2023-03-17T12:36:57.182Z,001102785703,1
2023-03-17T12:36:57.182Z,001101590082,1
2023-03-17T12:36:57.182Z,001102393700,1
2023-03-17T12:36:57.182Z,001101384911,1
2023-03-17T12:36:57.182Z,001101362446,1
2023-03-17T12:36:57.182Z,001100343404,1
2023-03-17T12:36:57.182Z,001103257693,1
2023-03-17T12:36:57.182Z,001102460485,1
2023-03-17T12:36:57.182Z,001100972250,1
2023-03-17T12:36:57.182Z,001103301813,3
2023-03-17T12:36:57.182Z,001100920841,1
2023-03-17T12:36:57.182Z,001102467333,1
2023-03-17T12:36:57.182Z,001103156645,1
2023-03-17T12:36:57.182Z,001101752111,1
2023-03-17T12:36:57.182Z,001101490539,1
2023-03-17T12:36:57.182Z,001100402894,1
2023-03-17T12:36:57.182Z,001100643981,1
2023-03-17T12:36:57.182Z,001100696551,1
2023-03-17T12:36:57.182Z,001100155188,1
2023-03-17T12:36:57.182Z,001101370906,1
2023-03-17T12:36:57.182Z,001101771727,1
2023-03-17T12:36:57.182Z,001100884165,1
2023-03-17T12:36:57.182Z,001102647237,1
